subject,soundtype,recording,segmentNum,numIMF,OBW1,OBW2,OBW3,OBW4,OBW5,OBW6,OBW7,OBW8,OBW9,OBW10,OBWRatio1,OBWRatio2,OBWRatio3,OBWRatio4,OBWRatio5,OBWRatio6,OBWRatio7,OBWRatio8,OBWRatio9,OBWRatio10,PobwdB1,PobwdB2,PobwdB3,PobwdB4,PobwdB5,PobwdB6,PobwdB7,PobwdB8,PobwdB9,PobwdB10,PobwRatio_23,PobwRatio_34,PobwRatio_45,PobwRatio_56,PobwRatio_67,PobwRatio_78,P3dB1,P3dB2,P3dB3,P3dB4,P3dB5,P3dB6,P3dB7,P3dB8,P3dBBalancing_23,P3dBBalancing_34,P3dBBalancing_45,P3dBBalancing_56,P3dBBalancing_67,P3dBBalancing_78,FCenter1,FCenter2,FCenter3,FCenter4,FCenter5,FCenter6,FCenter7,FCenter8,FCRatio1,FCRatio2,FCRatio3,FCRatio4,FCRatio5,FCRatio6,SNRdB,Amplification,Length(s),PowerOBW(W),Power3dB(W),deltaOBW1,deltaOBW2,deltaOBW3,deltaOBW4,deltaOBW5,deltaOBW6,deltaOBW7,deltaOBW8,deltaOBW9,deltaOBW10,deltaPobwdB1,deltaPobwdB2,deltaPobwdB3,deltaPobwdB4,deltaPobwdB5,deltaPobwdB6,deltaPobwdB7,deltaPobwdB8,deltaPobwdB9,deltaPobwdB10,deltaP3dB1,deltaP3dB2,deltaP3dB3,deltaP3dB4,deltaP3dB5,deltaP3dB6,deltaP3dB7,deltaP3dB8,deltaFCenter1,deltaFCenter2,deltaFCenter3,deltaFCenter4,deltaFCenter5,deltaFCenter6,deltaFCenter7,deltaFCenter8,deltaAmp
1,DDK,pataka Triad,1,19,6439.886771313821,3649.28100481279,1955.5736916456399,1108.4772939913,731.539238559729,574.993398771353,353.07852852293,224.752382129296,151.044518999557,89.58332943423531,1.86609229833823,1.7641982404566898,1.5152670363570602,1.27225676003044,1.6285142038423601,1.5709667909985,1.4879876715682399,1.68607842500922,1.6322870120059199,1.53127521460017,-35.733667284286,-28.4449467273273,-25.2317070620893,-25.1792310177191,-27.4601909240883,-32.69868334960739,-34.809160357044895,-40.690769193297896,-46.400917488190004,-49.065282765098,15.0608685410313,14.9722854450927,17.138758969376,14.544046526231801,10.7402360066278,20.4525495089715,-58.3854259083004,-45.2876379466918,-43.5058152683586,-40.2039925071821,-42.3179899870952,-42.0042374503201,-43.438919356235104,-55.26170986601629,-0.21987687617829896,-0.8418696696155229,0.527783598973425,-3.4260953135269796,0.24145241659616298,1.8130829737835903,5757.67489251802,1172.03867512658,668.336813949693,509.250032152491,385.794263911362,253.93965572207,161.597351438087,78.7717253328416,1.7536646952008301,1.31239424988306,1.3200041571107801,1.51923598862245,1.5714345158643401,2.05146390732556,15.784515653546698,2.756857,0.915687,0.010296,0.000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DDK,pataka Triad,2,19,6463.98661868577,3619.63342779323,1591.13859507406,951.317014997148,703.051714758867,540.356797943132,323.808176716681,260.83878259125197,197.51878083017,110.420499649788,2.27486998241329,1.67256400336625,1.3531252325064498,1.30108794306842,1.6687558770818898,1.2414111640143102,1.32057711927417,1.78878724020109,1.7609489307588,1.9310446281934899,-35.7163198090031,-28.7039638252455,-24.9078974621113,-24.2819809116753,-28.037687362421302,-32.9975397913918,-34.7447179029486,-42.002722439551604,-47.1736553815087,-49.051033220300106,12.278094518483801,15.4274627356566,18.3957150770972,18.5971818840043,15.9420911568826,20.3969358815719,-57.7902586185421,-45.551560572989395,-40.98205834372921,-40.3353601977678,-42.6776959887725,-46.6348692464255,-48.939630948274406,-55.1416537845205,-0.5490139307488721,-0.151849922280815,0.832292128150353,0.82872735194288,0.284449923483917,1.0420811745356,1310.2716951476,1171.9410272469,658.196005520838,489.95099934794604,403.11893266417803,289.52853111754797,165.112957758701,109.30019553545401,1.7805350038846401,1.3433914950613501,1.21540061666145,1.3923288703471899,1.7535179252295199,1.51063735018794,15.644385585725301,2.677124,0.883188,0.010066,0.000276,24.09984737194918,-29.647577019559776,-364.43509657157983,-157.160278994152,-28.48752380086205,-34.636600828220935,-29.27035180624904,36.086400461955975,46.47426183061299,20.83717021555269,0.017347475282896596,-0.2590170979181998,0.32380959997799863,0.8972501060437992,-0.5774964383330001,-0.29885644178440884,0.06444245409629445,-1.311953246253708,-0.7727378933186984,0.014249544797891645,0.5951672897583009,-0.26392262629759244,2.523756924629396,-0.13136769058569797,-0.3597060016772957,-4.630631796105405,-5.500711592039302,0.12005608149578961,-4447.4031973704205,-0.09764787968015298,-10.140808428855053,-19.299032804544936,17.324668752816024,35.58887539547797,3.5156063206139834,30.52847020261241,-0.07973300000000005
1,DDK,pataka Triad,3,18,6463.831251447,3619.7951480226,1591.1100049525303,951.336930741308,703.069006986295,540.3743508637031,322.850279802768,257.890818150244,183.10302796009202,100.40471331265199,2.27501249866794,1.67249893653628,1.3531202787891499,1.30107768043126,1.67376144506928,1.25188745422755,1.4084464960702399,1.8236497263820999,1.8278234144548602,1.65321312334016,-35.4488988765534,-28.4365224979463,-24.640443394682897,-24.014521490447997,-27.770378651286396,-32.730986615455606,-34.4857001739079,-41.60997195131979,-47.0798494465375,-51.3206341292189,12.2045022224432,15.5891559201482,16.6172214318322,20.102768805459,17.944555563559998,20.6976960623967,-57.7940704794374,-45.746007925930606,-40.6410247203896,-40.2295993148311,-40.6317429222802,-47.87314745674539,-50.6755421790156,-55.183396236304596,-0.6130413127025981,-0.0966802211108664,0.11581844585335302,1.7687620808848,0.344453005100503,0.7608447530152359,1310.16382008301,1171.96950831442,658.020454791033,489.931350883024,385.134042232032,289.980405004504,164.989837871402,109.421559922572,1.7810533088771598,1.34308705414556,1.27210606479667,1.3281381623908401,1.7575652461124598,1.50783664561307,15.6442180492992,2.677124,0.8304379999999999,0.010705,0.000365,-0.15536723876994074,0.16172022937007569,-0.028590121529759926,0.019915744160016402,0.017292227428015394,0.017552920571006325,-0.9578969139129754,-2.9479644410079686,-14.415752870077966,-10.015786337136007,0.2674209324497028,0.2674413272991991,0.26745406742840316,0.26745942122730426,0.2673087111349055,0.26655317593619543,0.25901772904069986,0.3927504882318118,0.0938059349712006,-2.2696009089187967,-0.0038118608953041644,-0.19444735294121074,0.3410336233396052,0.10576088293669983,2.045953066492295,-1.2382782103198906,-1.7359112307411948,-0.041742451784095636,-0.10787506458996177,0.02848106752003332,-0.1755507298049679,-0.01964846492205652,-17.984890432146017,0.4518738869560366,-0.12311988729899781,0.12136438711799258,0.0
1,DDK,pataka Triad,4,18,6451.74919082672,3583.47551725834,1607.6150141967998,1153.81228457407,713.830562865708,541.737646917079,357.90701795881205,236.418806648067,175.812032511903,105.46681879844999,2.2290632306943996,1.3933072438990801,1.6163671669394999,1.31766837126416,1.5136267793983897,1.51386864282583,1.3447248363507802,1.66698905413925,1.5062498817605001,1.46858055440286,-35.5006088181727,-28.9544810908435,-24.3042462522864,-24.764614056157697,-26.813443836388803,-31.1708805440122,-35.1444454152746,-38.8847278833245,-42.0034891640379,-47.8388092961403,11.8534684060174,16.421102994834598,16.490747232815,17.6489525191923,20.000847659845398,16.6511722606017,-58.7494521283592,-46.3583518577744,-40.8079494968609,-40.725349247121,-41.2553612889727,-44.462396355581,-51.171728203857604,-51.795617675876294,-0.666580954411731,-0.193178430737269,0.0726571605382422,0.541747579321718,1.22095735473731,0.0932847326146465,1177.85974901856,1172.03423621281,658.08566624656,385.317330344716,255.63183116633,174.660511557975,109.86654967245,79.7625276770138,1.78097517743791,1.7079057037424699,1.50731357901201,1.4635925939188599,1.5897514946878502,1.37742061181082,15.6061460949883,2.605391,0.801312,0.010506,0.0003,-12.082060620279663,-36.31963076426018,16.50500924426956,202.47535383276193,10.761555879412981,1.3632960533759615,35.05673815604405,-21.472011502176997,-7.2909954481890225,5.062105485798,-0.05170994161930054,-0.5179585928972017,0.3361971423964967,-0.7500925657097,0.9569348148975934,1.560106071443407,-0.6587452413667023,2.725244067995291,5.0763602824996,3.481824833078605,-0.9553816489218008,-0.612343931843796,-0.16692477647129778,-0.49574993228990394,-0.6236183666924973,3.4107511011643936,-0.4961860248420038,3.387778560428302,-132.30407106445,0.06472789838994686,0.06521145552699181,-104.61402053830795,-129.50221106570203,-115.319893446529,-55.12328819895198,-29.65903224555821,-0.07173300000000005
2,DDK,pataka Triad,1,19,5135.8921921805995,2539.42157363739,1520.97318649224,975.1638072070151,674.30243053933,438.227937268127,280.477982745285,175.018792768688,132.612772910305,91.87175989301649,1.6696031173922,1.5597104560806998,1.44618165832065,1.53870251801578,1.5624325766279599,1.60255923554436,1.31977326865086,1.44345523656814,1.54964276613568,1.6803927664628797,-25.962587492727103,-23.2464946391685,-19.9058785161675,-20.236374853501697,-19.2042992870881,-24.545838345619398,-32.483550650133196,-36.574367224228794,-40.9280516037142,-40.8548348316946,8.932099382347449,16.4011709850227,10.0460849450307,15.6606747698931,23.7091503876465,19.7450255762316,-45.62099662191171,-34.365933654819,-32.1785940215159,-36.3070495011901,-30.2824597985324,-34.864974056981204,-48.2549887332658,-52.228576226364794,-0.116481551239843,249.376046105728,-13.254669245349698,8.407194135206469,3.7406375734498702,0.5674016261304411,1652.31839775928,923.8228592732429,251.363316906295,182.79140132606997,112.49689488886801,55.392495926114904,39.1212247559449,19.964647030849303,3.6752493189673903,1.3751375342754901,1.62485730389842,2.03090496299213,1.4159192681639499,1.95952498912176,166.26151498619,10.495836,1.225625,0.041859,0.005225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DDK,pataka Triad,2,20,5057.81622188029,2590.7188745212698,1634.4659313215302,1136.4958935346,704.416797574919,466.844175780588,304.337398224995,249.25516516468602,261.398887321538,109.555290667491,1.58505529229757,1.43816263711979,1.6133855658286202,1.5088906194387002,1.53396913591097,1.2209873284829,0.953543328813353,2.3859996694719703,1.1276624776553998,1.5672279005012,-27.330469800882,-23.7210031004489,-21.975576397985,-22.456036608842897,-22.4610720971389,-25.228090014176196,-31.445153877623202,-39.638398448699,-43.492546868113095,-43.63266455526179,13.5608331623437,18.4714585871567,10.8011514576439,10.290408482391198,24.7708640351037,23.024100134804502,-53.4747910920046,-42.450946604745795,-37.2818362627926,-40.4470349851417,-33.257188066486805,-32.7514805795301,-49.9989540492799,-54.469254012427704,-0.24758283206453502,-0.32065187543339696,-0.7275710406639642,-0.19590588010907,2.6040455891570096,2.35265750602803,1669.72558642328,1065.0878160028699,496.634172507148,250.54500808051003,209.339845753709,132.27250130227802,115.94997497565599,77.6591203940858,2.14461242291485,1.98221539639521,1.19683382386399,1.58264071286677,1.1407721418659098,1.4930632022003503,164.160222867906,7.036289,1.2241870000000001,0.025802,0.002582,-78.07597030030956,51.29730088387987,113.49274482929013,161.332086327585,30.114367035588998,28.616238512460995,23.859415479710037,74.23637239599802,128.78611441123297,17.683530774474505,-1.367882308154897,-0.4745084612804007,-2.0696978818175005,-2.2196617553411997,-3.2567728100507978,-0.6822516685567983,1.0383967725099943,-3.064031224470206,-2.564495264398893,-2.777829723567187,-7.853794470092893,-8.085012949926792,-5.103242241276703,-4.139985483951598,-2.9747282679544043,2.113493477451101,-1.7439653160141049,-2.2406777860629106,17.407188663999932,141.264956729627,245.27085560085297,67.75360675444006,96.84295086484099,76.88000537616311,76.82875021971108,57.6944733632365,-3.4595470000000006
2,DDK,pataka Triad,3,19,5320.334919740139,2785.8985340074396,1698.72039747387,1082.29112685923,720.387976596931,464.846131906393,303.132432615086,210.399288652225,130.799169486304,76.8363198121347,1.63999828232491,1.5695595716500903,1.5023725575930802,1.54973426075964,1.53347541170776,1.4407483720923702,1.60856746628086,1.70230913981967,1.7133726760512502,1.56558690695102,-26.6515092547545,-24.104760005731002,-20.6972495247555,-19.4657694204243,-19.6045716299663,-22.643946308158803,-29.513860424215103,-36.085262558519794,-40.2897196475287,-41.7561468448,11.2474717074286,10.9501767700964,11.5031194529602,13.741555972290199,24.269629820664,23.1669097293169,-41.044160410201705,-40.7595302735586,-35.3522317131596,-31.6474262948519,-30.9688888733845,-33.3461276022565,-46.9135761288228,-52.680770153532,-0.285239398248888,-111.034192611305,-2.9525966822449,3.1520477235707904,1.62746070556921,1.5601667199473799,1654.0948926353199,936.5808722888639,251.698778426786,131.61319667541798,101.864526647081,73.59723391094849,52.492907013276394,27.0599557378069,3.72103860870067,1.91241292503153,1.29204150853617,1.38408091220297,1.4020414966222798,1.9398740900354,166.265321360194,10.549903,1.237188,0.041895,0.0052,262.51869785984945,195.17965948616984,64.25446615233977,-54.20476667537014,15.971179022012052,-1.998043874194991,-1.2049656099090384,-38.85587651246101,-130.59971783523397,-32.71897085535629,0.6789605461274988,-0.3837569052821017,1.2783268732295028,2.9902671884185956,2.856500467172598,2.584143706017393,1.9312934534080988,3.553135890179206,3.202827220584396,1.8765177104617905,12.430630681802896,1.6914163311871917,1.9296045496330052,8.799608690289798,2.2882991931023042,-0.5946470227263987,3.0853779204571055,1.7884838588957024,-15.630693787960126,-128.50694371400596,-244.935394080362,-118.93181140509205,-107.475319106628,-58.67526739132953,-63.4570679623796,-50.5991646562789,3.5136140000000005
2,DDK,pataka Triad,4,17,5031.36199378185,2557.7092175713,1635.5388471770902,1127.88710255929,642.889995434352,428.433596568302,308.758247965023,250.530917245704,184.76040803967499,99.526976382866,1.56383275272603,1.4500909208606698,1.75440139148108,1.50055924788303,1.38760211068705,1.2324157487605099,1.3559772892031399,1.85638522091667,1.18104026919545,2.59455630514842,-26.9823394159861,-23.4020821697773,-21.9763250059402,-22.1306700340003,-22.231048760033804,-26.2257237939999,-32.5984673685764,-39.4129018306709,-43.136700210992004,-46.7971453212008,14.300352426658499,17.220808047522098,10.196265235626099,13.1448921414524,23.0699351041192,20.6178286306753,-51.964241330326004,-35.2788936173001,-37.70243459643579,-39.197133053462295,-32.326935269626304,-35.3759409014862,-49.2956588981192,-53.2162959992517,0.11630057008340199,191.38888988322103,-4293.5690305196,1.20331495062451,3.42536559266006,0.66579533529562,1669.3301327477802,1065.98614690661,251.44743798508,210.808352227002,159.058809806189,105.75274199309601,40.23770308169,25.5932509934512,4.23939951605258,1.19277739865979,1.32534848263903,1.5040632215150702,2.62820026725677,1.57219976047537,164.191336620961,7.049914,1.2201870000000001,0.025988,0.0021809999999999998,-288.9729259582891,-228.1893164361395,-63.18155029677973,45.59597570006008,-77.49798116257898,-36.412535338091004,5.625815349937,40.13162859347898,53.961238553370976,22.690656570731292,-0.33083016123159936,0.7026778359537005,-1.2790754811847016,-2.6649006135759983,-2.626477130067503,-3.581777485841098,-3.0846069443612976,-3.327639272151103,-2.8469805634633047,-5.040998476400802,-10.920080920124299,5.480636656258504,-2.3502028832761965,-7.5497067586103945,-1.3580463962418037,-2.0298132992297013,-2.382082769296403,-0.5355258457196967,15.23524011246036,129.40527461774604,-0.2513404417059917,79.19515555158401,57.19428315910801,32.15550808214752,-12.255203931586394,-1.4667047443556989,-3.4999890000000002
3,DDK,pataka Triad,1,19,6461.890609056751,3885.51034819924,1957.2765670592498,1075.0714269836099,576.112839333737,383.91803537920504,274.858911401054,200.38331875554402,126.821918252824,83.3041155963723,1.9851616340745901,1.8206014204571297,1.86607788194221,1.5006141578232899,1.3967822015383702,1.3716656311914097,1.58003696455744,1.52239679090173,1.93819547662123,1.2475394561903799,-29.8957029040306,-31.0978719903298,-27.927833205543298,-26.7796191971666,-20.812200559948103,-23.354854068558303,-29.760688961642604,-37.933584015096294,-41.689375927613504,-45.2918169231117,12.412334458776,9.1971996347685,4.46259465953646,13.9865220024715,17.6686287441457,21.4819925066146,-50.6277142177903,-52.2369146745269,-43.510206449105794,-37.125032840311796,-31.242213856703,-34.7987225624197,-41.023482812704,-51.24268146825721,-0.683357597498731,-0.5093903977440221,-1.9796908546369902,3.01831574873322,1.29798259947844,1.08934893260001,3099.65170317569,1751.11042847885,722.583471066888,303.074218063424,246.658099812394,163.026876627085,85.08686416737442,60.5293993877254,2.4234022761319802,2.38417994009531,1.22872193653458,1.51299040327326,1.9160052285673002,1.40571135725872,162.85015687956601,13.973560999999998,0.99725,0.019083000000000003,0.0009550000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DDK,pataka Triad,2,20,6425.783418106271,4036.8137870940996,2114.4003763647697,1174.56134950994,606.8899338008159,454.64618099366896,283.230272968591,263.243700080194,182.70275119499402,116.795116497656,1.9092002783477,1.80016171760373,1.9353778734702802,1.33486205135256,1.60521746573357,1.0759242211012399,1.4408305203857699,1.56430128821919,1.54462651766482,1.7217693110210202,-29.9496494113084,-32.5299294875293,-27.8465415559941,-26.088658365488502,-20.7930079683215,-24.3630104247599,-29.9341380532013,-36.597117339120494,-42.4935699075444,-44.490055486434095,11.0601071364466,17.5033960792486,5.34682670042022,17.6005032780186,19.5943873267158,22.655467671067,-49.46904564089729,-53.4273894495505,-43.5900366239759,-45.3499376352427,-31.4354850659087,-38.393511246340104,-43.9573977514757,-52.589605724268296,-0.734835278529396,0.115307854182079,-70.77159112388391,2.38750433450714,1.9338145923418502,1.2480788564890402,3088.09035222738,1821.3133134705301,720.097295582704,250.000146142626,201.50738952090902,165.074483541484,102.205830764598,55.2508981883711,2.5292600383906803,2.8803874985412503,1.2406500165428602,1.2207058607593302,1.6151180642686298,1.8498492172225,162.805482902166,14.003419000000001,1.011875,0.018888,0.000936,-36.10719095047989,151.30343889485948,157.1238093055199,99.48992252633025,30.777094467078882,70.72814561446393,8.371361567537008,62.86038132464998,55.88083294217002,33.4910009012837,-0.05394650727780004,-1.4320574971995015,0.08129164954919688,0.6909608316780975,0.01919259162660225,-1.0081563562015958,-0.1734490915586946,1.3364666759757995,-0.8041939799308935,0.8017614366776087,1.1586685768930067,-1.1904747750236027,-0.07983017487010358,-8.224904794930907,-0.19327120920570096,-3.594788683920406,-2.9339149387717,-1.3469242560110857,-11.56135094830961,70.2028849916801,-2.4861754841840593,-53.07407192079799,-45.150710291484984,2.0476069143990117,17.11896659722359,-5.278501199354295,0.029858000000002605
